"","lambdas","num_positions","accuracy"
"1",0.05,1,1660
"2",0.0495,1,1660
"3",0.049,1,1660
"4",0.0485,3,1660
"5",0.048,8,1660
"6",0.0475,13,1660
"7",0.047,17,1660
"8",0.0465,19,1660
"9",0.046,22,1660
"10",0.0455,23,1660
"11",0.045,24,1660
"12",0.0445,25,1660
"13",0.044,25,1660
"14",0.0435,25,1660
"15",0.043,25,1660
"16",0.0425,25,1660
"17",0.042,25,1660
"18",0.0415,25,1660
"19",0.041,19,1660
"20",0.0405,19,1660
"21",0.04,19,1660
"22",0.0395,19,1660
"23",0.039,20,1660
"24",0.0385,20,1660
"25",0.038,20,1933
"26",0.0375,22,1933
"27",0.037,22,1933
"28",0.0365,22,1933
"29",0.036,22,1933
"30",0.0355,22,1933
"31",0.035,22,1935
"32",0.0345,22,1946
"33",0.034,23,1950
"34",0.0335,23,1954
"35",0.033,23,2293
"36",0.0325,23,2322
"37",0.032,15,2323
"38",0.0315,15,2325
"39",0.031,15,2325
"40",0.0305,16,2325
"41",0.03,19,2325
"42",0.0295,20,2325
"43",0.029,20,2381
"44",0.0285,20,2381
"45",0.028,20,2382
"46",0.0275,21,2382
"47",0.027,23,2384
"48",0.0265,25,2385
"49",0.026,27,2387
"50",0.0255,28,2392
"51",0.025,23,2401
"52",0.0245,25,2403
"53",0.024,25,2410
"54",0.0235,25,2412
"55",0.023,29,2417
"56",0.0225,45,2444
"57",0.022,55,2451
"58",0.0215,77,2458
"59",0.021,83,2461
"60",0.0205,88,2465
"61",0.02,92,2478
"62",0.0195,43,2483
"63",0.019,37,2493
"64",0.0185,39,2497
"65",0.018,43,2502
"66",0.0175,47,2506
"67",0.017,47,2508
"68",0.0165,48,2516
"69",0.016,46,2518
"70",0.0155,59,2531
"71",0.015,67,2535
"72",0.0145,67,2541
"73",0.014,73,2547
"74",0.0135,81,2549
"75",0.013,66,2552
"76",0.0125,70,2552
"77",0.012,79,2554
"78",0.0115,90,2568
"79",0.011,108,2570
"80",0.0105,122,2574
"81",0.01,111,2581
"82",0.0095,110,2586
"83",0.009,115,2598
"84",0.0085,124,2602
"85",0.008,163,2607
"86",0.0075,160,2616
"87",0.007,185,2632
"88",0.0065,189,2657
"89",0.006,130,2683
"90",0.0055,137,2697
"91",0.005,141,2703
"92",0.0045,139,2732
"93",0.004,143,2748
"94",0.0035,156,2765
"95",0.003,166,2790
"96",0.0025,170,2804
"97",0.002,175,2828
"98",0.0015,181,2851
"99",0.001,210,2866
"100",5e-04,229,2888
