"","iterations","positions","accuracy"
"1",65,367,2886
"2",65,339,2887
"3",65,319,2881
"4",65,300,2872
"5",65,281,2880
"6",65,268,2873
"7",65,260,2863
"8",65,251,2872
"9",65,242,2867
"10",65,227,2874
"11",65,221,2870
"12",65,219,2876
"13",65,214,2860
"14",65,207,2860
"15",65,200,2857
"16",65,195,2855
"17",65,189,2863
"18",65,185,2859
"19",65,181,2865
"20",65,171,2855
"21",65,168,2853
"22",65,162,2865
"23",65,156,2844
"24",65,151,2844
"25",65,143,2849
"26",65,136,2845
"27",65,133,2836
"28",65,130,2826
"29",65,122,2823
"30",65,117,2795
"31",65,112,2787
"32",65,107,2783
"33",65,92,2791
"34",65,87,2792
"35",65,76,2785
"36",65,69,2776
"37",65,63,2787
"38",65,58,2789
"39",65,53,2781
"40",65,47,2780
"41",65,38,2768
"42",65,35,2778
"43",65,30,2748
"44",65,24,2773
"45",65,19,2758
"46",65,16,2747
"47",65,15,2735
"48",65,12,2742
"49",65,12,2742
"50",65,12,2742
"51",65,12,2742
"52",65,12,2742
"53",65,12,2742
"54",65,11,2738
"55",65,11,2738
"56",65,10,2743
"57",65,10,2743
"58",65,9,2706
"59",65,8,2705
"60",65,8,2705
"61",65,8,2705
"62",65,7,2589
"63",65,7,2589
"64",65,7,2589
"65",65,5,2580
