"","iterations","positions","accuracy"
"1",56,446,2890
"2",56,392,2886
"3",56,345,2885
"4",56,315,2886
"5",56,295,2881
"6",56,268,2878
"7",56,250,2865
"8",56,242,2874
"9",56,228,2860
"10",56,216,2875
"11",56,206,2862
"12",56,201,2860
"13",56,194,2869
"14",56,182,2860
"15",56,175,2864
"16",56,167,2860
"17",56,160,2838
"18",56,155,2842
"19",56,146,2832
"20",56,138,2834
"21",56,126,2816
"22",56,117,2798
"23",56,104,2823
"24",56,94,2815
"25",56,85,2822
"26",56,76,2788
"27",56,68,2796
"28",56,57,2775
"29",56,44,2773
"30",56,39,2780
"31",56,35,2785
"32",56,30,2787
"33",56,29,2790
"34",56,28,2783
"35",56,22,2781
"36",56,21,2782
"37",56,19,2763
"38",56,15,2740
"39",56,15,2740
"40",56,14,2755
"41",56,14,2755
"42",56,12,2732
"43",56,12,2732
"44",56,12,2732
"45",56,10,2729
"46",56,10,2729
"47",56,9,2710
"48",56,9,2710
"49",56,8,2704
"50",56,8,2704
"51",56,8,2704
"52",56,7,2697
"53",56,7,2697
"54",56,7,2697
"55",56,7,2697
"56",56,7,2697
