"","iteration","Variables remaining","NA"
"1",1,743,2851
"2",2,496,2848
"3",3,454,2848
"4",4,428,2848
"5",5,413,2849
"6",6,403,2848
"7",7,391,2849
"8",8,386,2849
"9",9,383,2848
"10",10,379,2848
"11",11,372,2849
"12",12,368,2849
"13",13,363,2849
"14",14,362,2848
"15",15,360,2849
"16",16,356,2849
"17",17,351,2848
"18",18,348,2849
"19",19,348,2849
"20",20,345,2849
"21",21,343,2849
"22",22,339,2849
"23",23,335,2849
"24",24,333,2849
"25",25,327,2849
"26",26,326,2849
"27",27,322,2849
"28",28,321,2849
"29",29,321,2849
"30",30,321,2848
"31",31,320,2849
"32",32,320,2849
"33",33,315,2849
"34",34,315,2848
"35",35,315,2849
"36",36,314,2849
"37",37,314,2849
"38",38,313,2848
"39",39,313,2848
"40",40,312,2849
"41",41,312,2849
"42",42,311,2849
"43",43,311,2849
"44",44,311,2849
"45",45,310,2848
"46",46,310,2849
"47",47,310,2849
"48",48,309,2849
"49",49,309,2849
"50",50,309,2849
"51",51,309,2849
"52",52,308,2849
"53",53,308,2848
"54",54,308,2849
"55",55,308,2848
"56",56,306,2849
"57",57,306,2849
"58",58,306,2848
"59",59,306,2848
"60",60,305,2849
"61",61,303,2849
"62",62,303,2848
"63",63,303,2849
"64",64,302,2849
"65",65,302,2849
"66",66,301,2849
"67",67,300,2849
"68",68,297,2849
"69",69,297,2848
"70",70,297,2848
"71",71,297,2849
"72",72,296,2848
"73",73,296,2849
"74",74,296,2849
"75",75,296,2849
"76",76,296,2849
