"","lambdas","num_positions","accuracy"
"1",0.08,1,1660
"2",0.0795,1,1660
"3",0.079,1,1660
"4",0.0785,3,1660
"5",0.078,5,1660
"6",0.0775,9,1660
"7",0.077,13,1660
"8",0.0765,15,1660
"9",0.076,17,1660
"10",0.0755,17,1660
"11",0.075,20,1660
"12",0.0745,20,1660
"13",0.074,21,1660
"14",0.0735,22,1660
"15",0.073,23,1660
"16",0.0725,23,1660
"17",0.072,23,1660
"18",0.0715,23,1660
"19",0.071,23,1660
"20",0.0705,23,1660
"21",0.07,24,1660
"22",0.0695,25,1660
"23",0.069,25,1660
"24",0.0685,25,1660
"25",0.068,24,1660
"26",0.0675,24,1660
"27",0.067,24,1660
"28",0.0665,24,1660
"29",0.066,24,1660
"30",0.0655,24,1660
"31",0.065,25,1660
"32",0.0645,25,1660
"33",0.064,25,1660
"34",0.0635,25,1660
"35",0.063,25,1660
"36",0.0625,25,1660
"37",0.062,25,1660
"38",0.0615,25,1660
"39",0.061,25,1660
"40",0.0605,25,1660
"41",0.06,25,1660
"42",0.0595,25,1660
"43",0.059,25,1660
"44",0.0585,25,1908
"45",0.058,25,1920
"46",0.0575,24,1916
"47",0.057,24,1922
"48",0.0565,24,1920
"49",0.056,24,1924
"50",0.0555,24,1930
"51",0.055,19,1930
"52",0.0545,18,1932
"53",0.054,18,1941
"54",0.0535,17,2280
"55",0.053,18,2285
"56",0.0525,18,2286
"57",0.052,18,2286
"58",0.0515,18,2292
"59",0.051,18,2292
"60",0.0505,18,2297
"61",0.05,18,2303
"62",0.0495,18,2303
"63",0.049,18,2303
"64",0.0485,18,2321
"65",0.048,18,2322
"66",0.0475,18,2322
"67",0.047,19,2322
"68",0.0465,21,2322
"69",0.046,21,2322
"70",0.0455,22,2322
"71",0.045,23,2322
"72",0.0445,25,2322
"73",0.044,32,2324
"74",0.0435,18,2325
"75",0.043,17,2328
"76",0.0425,17,2329
"77",0.042,18,2371
"78",0.0415,19,2382
"79",0.041,20,2393
"80",0.0405,21,2393
"81",0.04,20,2393
"82",0.0395,21,2397
"83",0.039,21,2399
"84",0.0385,24,2402
"85",0.038,24,2405
"86",0.0375,25,2405
"87",0.037,30,2407
"88",0.0365,36,2409
"89",0.036,50,2409
"90",0.0355,55,2412
"91",0.035,64,2415
"92",0.0345,77,2416
"93",0.034,82,2417
"94",0.0335,87,2425
"95",0.033,84,2434
"96",0.0325,94,2435
"97",0.032,97,2458
"98",0.0315,81,2460
"99",0.031,84,2467
"100",0.0305,85,2471
"101",0.03,88,2475
"102",0.0295,95,2478
"103",0.029,72,2479
"104",0.0285,59,2481
"105",0.028,45,2483
"106",0.0275,45,2484
"107",0.027,35,2488
"108",0.0265,36,2489
"109",0.026,37,2495
"110",0.0255,39,2497
"111",0.025,39,2517
"112",0.0245,47,2519
"113",0.024,51,2524
"114",0.0235,40,2524
"115",0.023,41,2526
"116",0.0225,41,2529
"117",0.022,43,2529
"118",0.0215,46,2529
"119",0.021,46,2532
"120",0.0205,49,2534
"121",0.02,50,2538
"122",0.0195,54,2539
"123",0.019,56,2539
"124",0.0185,46,2543
"125",0.018,58,2545
"126",0.0175,73,2547
"127",0.017,87,2552
"128",0.0165,105,2553
"129",0.016,123,2568
"130",0.0155,132,2572
"131",0.015,142,2573
"132",0.0145,94,2578
"133",0.014,70,2581
"134",0.0135,63,2587
"135",0.013,64,2595
"136",0.0125,60,2599
"137",0.012,60,2605
"138",0.0115,62,2608
"139",0.011,62,2615
"140",0.0105,62,2624
"141",0.01,60,2636
"142",0.0095,64,2659
"143",0.00899999999999999,86,2664
"144",0.00849999999999999,93,2677
"145",0.00799999999999999,109,2683
"146",0.00750000000000001,94,2692
"147",0.00700000000000001,103,2710
"148",0.00650000000000001,120,2714
"149",0.006,118,2724
"150",0.0055,124,2733
"151",0.005,130,2749
"152",0.0045,143,2759
"153",0.004,157,2777
"154",0.0035,165,2796
"155",0.003,158,2818
"156",0.0025,158,2831
"157",0.002,169,2842
"158",0.0015,168,2863
"159",0.001,200,2876
"160",5e-04,212,2891
