"","lambda_vec","positions","accuracy"
"1",0.1,0,1660
"2",0.0890215085445038,0,1660
"3",0.0792482898353917,0,1660
"4",0.0705480231071864,0,1660
"5",0.0628029144183425,0,1660
"6",0.0559081018251222,0,1660
"7",0.0497702356433211,0,1660
"8",0.0443062145758388,0,1660
"9",0.0394420605943766,0,1660
"10",0.0351119173421513,0,1660
"11",0.0312571584968824,0,1660
"12",0.0278255940220712,0,1660
"13",0.0247707635599171,0,1660
"14",0.0220513073990305,0,1660
"15",0.0196304065004027,0,1660
"16",0.0174752840000768,0,1660
"17",0.0155567614393047,0,1660
"18",0.0138488637139387,0,1660
"19",0.0123284673944207,0,1660
"20",0.0109749876549306,0,1660
"21",0.00977009957299225,0,1660
"22",0.00869749002617783,0,1660
"23",0.00774263682681127,0,1660
"24",0.0068926121043497,0,1660
"25",0.00613590727341318,0,1660
"26",0.00546227721768434,0,1660
"27",0.00486260158006535,0,1660
"28",0.00432876128108306,0,1660
"29",0.00385352859371053,0,1660
"30",0.00343046928631492,0,1660
"31",0.00305385550883342,2,2122
"32",0.00271858824273294,2,2122
"33",0.00242012826479438,10,2481
"34",0.00215443469003188,14,2488
"35",0.00191791026167249,14,2496
"36",0.00170735264747069,16,2490
"37",0.00151991108295293,20,2506
"38",0.00135304777457981,54,2511
"39",0.00120450354025878,66,2519
"40",0.00107226722201032,94,2522
"41",0.000954548456661834,127,2530
"42",0.000849753435908645,195,2547
"43",0.000756463327554629,238,2571
"44",0.000673415065775082,318,2586
"45",0.000599484250318941,372,2598
"46",0.000533669923120631,401,2609
"47",0.00047508101621028,347,2610
"48",0.00042292428743895,386,2625
"49",0.000376493580679247,420,2633
"50",0.000335160265093884,542,2640
"51",0.000298364724028334,576,2649
"52",0.000265608778294669,607,2667
"53",0.000236448941264541,670,2673
"54",0.000210490414451202,731,2677
"55",0.000187381742286038,744,2678
"56",0.000166810053720006,800,2692
"57",0.000148496826225447,879,2704
"58",0.000132194114846603,958,2714
"59",0.0001176811952435,1025,2725
"60",0.000104761575278967,1077,2737
"61",9.3260334688322e-05,1189,2748
"62",8.30217568131973e-05,1242,2762
"63",7.39072203352578e-05,1281,2772
"64",6.57933224657568e-05,1309,2782
"65",5.85702081805667e-05,1333,2793
"66",5.21400828799968e-05,1371,2802
"67",4.64158883361277e-05,1400,2809
"68",4.13201240011533e-05,1408,2825
"69",3.67837977182863e-05,1420,2833
"70",3.27454916287773e-05,1431,2842
"71",2.91505306282518e-05,1437,2851
"72",2.59502421139974e-05,1438,2857
"73",2.31012970008316e-05,1440,2860
"74",2.05651230834865e-05,1440,2866
"75",1.83073828029537e-05,1440,2868
"76",1.62975083462065e-05,1440,2871
"77",1.45082877849594e-05,1440,2874
"78",1.29154966501488e-05,1440,2879
"79",1.14975699539774e-05,1440,2880
"80",1.02353102189903e-05,1440,2881
"81",9.11162756115489e-06,1440,2882
"82",8.11130830789687e-06,1440,2883
"83",7.22080901838547e-06,1440,2884
"84",6.42807311728432e-06,1440,2884
"85",5.72236765935022e-06,1440,2884
"86",5.09413801481638e-06,1440,2888
"87",4.53487850812858e-06,1440,2888
"88",4.03701725859656e-06,1440,2888
"89",3.59381366380463e-06,1440,2888
"90",3.19926713779738e-06,1440,2886
"91",2.8480358684358e-06,1440,2886
"92",2.53536449397011e-06,1440,2886
"93",2.25701971963392e-06,1440,2886
"94",2.00923300256505e-06,1440,2886
"95",1.78864952905744e-06,1440,2886
"96",1.59228279334109e-06,1440,2886
"97",1.4174741629268e-06,1440,2886
"98",1.26185688306602e-06,1440,2886
"99",1.12332403297803e-06,1440,2886
"100",1e-06,1440,2886
